,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
20,Newstead Jennifer,"VP, GC",S - Sale,FB,$175.28,-97,"-$17,002","1,667",-5%,2020-04-23 18:27:57,2020-04-21
21,Humrichouse Ximena G,Dir,S - Sale,CNK,$11.40,"-5,000","-$56,976","16,445",-23%,2020-04-23 18:20:13,2020-03-30
22,Luczo Stephen J,Dir,P - Purchase,T,$29.38,"+36,000","+$1,057,579","200,000",+22%,2020-04-23 18:19:45,2020-04-22
23,Cmil Jennifer,"EVP, HR",S - Sale,NEM,$58.49,"-2,571","-$150,378","22,231",-10%,2020-04-23 18:17:56,2020-04-21
24,Schwartz Samuel,Dir,S - Sale,SOTK,$2.40,"-1,900","-$4,567","1,313,647",0%,2020-04-23 18:07:13,2020-04-21
25,Shook Ellyn,"Chief Leadership, HR Officer",S - Sale,ACN,$175.00,"-1,251","-$218,925","25,178",-5%,2020-04-23 17:54:23,2020-04-23
26,Shmunis Vladimir,"CEO, COB",S - Sale,RNG,$248.31,"-4,800","-$1,191,874","256,344",-2%,2020-04-23 17:23:17,2020-04-21
27,Shmunis Vladimir,"CEO, COB",S - Sale+OE,RNG,$238.05,"-36,200","-$8,617,265","261,144",-12%,2020-04-23 17:22:19,2020-04-21
28,New Enterprise Associates 10 L P,10%,S - Sale,SENS,$0.64,"-165,061","-$105,860","19,747,649",-1%,2020-04-23 17:18:21,2020-04-21
29,Haidamus Ramzi,"Pres, CEO",S - Sale+OE,IMMR,$6.03,"-7,611","-$45,894","57,603",-12%,2020-04-23 17:10:35,2020-04-21
30,Stillwell Kenneth,"CFO, SVP",S - Sale,PEGA,$74.32,"-2,000","-$148,646","11,244",-15%,2020-04-23 17:00:38,2020-04-21
31,Venegas Zachary L,"CEO, 10%",S - Sale,HLIX,$0.12,"-10,000","-$1,183","22,132,228",0%,2020-04-23 16:59:46,2020-04-21
32,Filler James J,10%,P - Purchase,CNBKA,$58.62,"+3,922","+$229,925","779,933",+1%,2020-04-23 16:52:01,2020-04-15
33,Ogur Scott Matthew,"CFO, 10%",S - Sale,HLIX,$0.12,"-10,000","-$1,183","22,132,228",0%,2020-04-23 16:46:56,2020-04-21
34,Koch Charles John,Dir,P - Purchase,CFG,$19.53,"+25,000","+$488,200","93,924",+36%,2020-04-23 16:40:42,2020-04-21
35,Helix Opportunities LLC,10%,S - Sale,HLIX,$0.12,"-10,000","-$1,183","22,132,228",0%,2020-04-23 16:36:46,2020-04-21
36,Jandrich Steven,"Chief Comp Off, VP, Human Res",S - Sale+OE,INSP,$72.68,"-2,000","-$145,360","2,505",-44%,2020-04-23 16:31:28,2020-04-21
37,Bromberg Matthew S,COO,S - Sale,ZNGA,$7.53,"-12,000","-$90,360","807,609",-1%,2020-04-23 16:26:20,2020-04-21
38,Quarles Patrick D.,"Pres, CEO",P - Purchase,TREC,$5.41,"+5,092","+$27,548","213,159",+2%,2020-04-23 16:23:51,2020-04-23
39,Angrick William P III,"COB, CEO, 10%",P - Purchase,LQDT,$4.74,+700,"+$3,318","6,116,162",0%,2020-04-23 16:18:10,2020-04-21
40,Kiewiet Sean,CTO,S - Sale,PRTH,$1.61,"-3,067","-$4,927","2,355,980",0%,2020-04-23 16:16:35,2020-04-21
41,Grimes Scott D.,CEO,S - Sale,CDLX,$40.65,"-37,500","-$1,524,345","366,543",-9%,2020-04-23 16:15:09,2020-04-22
42,Cundy Kenneth C,Chief Scientific Officer,S - Sale+OE,CWBR,$1.90,"-10,000","-$19,000","10,000",-50%,2020-04-23 16:10:27,2020-04-21
43,Roswech John,Chief Revenue Officer,P - Purchase,MCHX,$1.36,"+2,500","+$3,396","290,000",+1%,2020-04-23 16:08:40,2020-04-22
44,Kelley Bernard J,Dir,S - Sale,CDXS,$10.58,"-2,500","-$26,450","207,184",-1%,2020-04-23 16:07:41,2020-04-21
45,Broad Matthew R,SVP GC,P - Purchase,DRI,$58.50,+427,"+$24,980","8,611",+5%,2020-04-23 16:03:36,2020-04-23
46,King Sarah H.,"SVP, CHRO",P - Purchase,DRI,$58.50,"+1,025","+$59,963","5,027",+26%,2020-04-23 16:03:32,2020-04-23
47,Atkins M Shan,Dir,P - Purchase,DRI,$58.50,"+1,282","+$74,997","3,114",+70%,2020-04-23 16:03:27,2020-04-23
48,Renninger Richard L.,"SVP, Chief Development Officer",P - Purchase,DRI,$58.50,"+2,000","+$117,000","5,653",+55%,2020-04-23 16:03:23,2020-04-23
49,Bottorff Rebecca,Chief People Officer,S - Sale,BAND,$80.00,"-3,409","-$272,720","6,791",-33%,2020-04-23 16:02:05,2020-04-22
50,Burrowes Todd,"Pres, LongHorn Steakhouse",P - Purchase,DRI,$58.50,"+2,564","+$149,994","25,216",+11%,2020-04-23 16:02:00,2020-04-23
51,Cardenas Ricardo,SVP CFO,P - Purchase,DRI,$58.50,"+2,991","+$174,974","22,432",+15%,2020-04-23 16:01:56,2020-04-23
52,Dilsaver Evelyn S,Dir,S - Sale+OE,TPX,$41.28,-158,"-$6,522","27,911",-1%,2020-04-23 16:01:53,2020-04-21
53,Koch C James,"COB, 10%",S - Sale,SAM,$426.39,"-4,218","-$1,798,494","346,818",-1%,2020-04-23 16:01:22,2020-04-22
54,Jamison Cynthia T,Dir,P - Purchase,DRI,$58.50,"+3,418","+$199,953","3,838",+814%,2020-04-23 16:00:34,2020-04-23
55,Kahli Beat,10%,P - Purchase,VOXX,$4.76,"+145,000","+$690,166","3,200,000",+5%,2020-04-23 16:00:16,2020-04-21
